full_name,abbr_name,start_time,end_time,semester,year,prof,school,course
African-American Studies In:,AAAS 323,APPT,,Fall2023,2023,"Yeku, James",1,16
African-American Studies In:,AAAS 323,01:00,03:00 PM,Fall2023,2023,"Hines, Dorothy",1,16
African-American Studies In:,AAAS 323,02:30,03:45 PM,Fall2023,2023,"Casey, Emily",1,16
Popular Black Music,AAAS 325,APPT,,Fall2023,2023,"Bolden, Anthony",1,17
Social Media & Afrcn Pop Cult,AAAS 326,APPT,,Fall2023,2023,"Yeku, James",1,18
African American Culture,AAAS 327,08:30,10:45 AM,Fall2023,2023,"Pennington, Dorthy",1,19
Islam,AAAS 349,APPT,,Fall2023,2023,"Brinton, Jacquelene",1,20
Politics in Africa,AAAS 365,01:00,02:15 PM,Fall2023,2023,"Britton, Hannah",1,21
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Alexander, Shawn",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Bolden, Anthony",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"EL HAIMEUR, AMAL",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Hines, Dorothy",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"EL HAIMEUR, AMAL",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Jelks, Randal",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"MacGonagle, Elizabeth",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Ojiambo, Peter",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Persley, Nicole",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Pennington, Dorthy",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Ukpokodu, Peter",1,22
Readings in:,AAAS 400,APPT,,Fall2023,2023,"Yeku, James",1,22
Interculturl Comnctn:Afro-Amer,AAAS 420,01:00,02:15 PM,Fall2023,2023,"Pennington, Dorthy",1,23
Postcolonial Theatre and Drama,AAAS 429,01:00,02:15 PM,Fall2023,2023,"DeRoy, Timmia",1,24
Global Ethnic&Racial Relations,AAAS 437,APPT,,Fall2023,2023,"Nagel, Joane",1,25
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Alexander, Shawn",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Bolden, Anthony",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"EL HAIMEUR, AMAL",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Hines, Dorothy",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Persley, Nicole",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Jelks, Randal",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"MacGonagle, Elizabeth",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Ojiambo, Peter",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Pennington, Dorthy",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Ukpokodu, Peter",1,26
Topc&Probm Africn&Afr-Amr Stds,AAAS 460,APPT,,Fall2023,2023,"Yeku, James",1,26
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Alexander, Shawn",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Bolden, Anthony",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"EL HAIMEUR, AMAL",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Hines, Dorothy",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Jelks, Randal",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"MacGonagle, Elizabeth",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Ojiambo, Peter",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Pennington, Dorthy",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Ukpokodu, Peter",1,27
Field Experience,AAAS 496,APPT,,Fall2023,2023,"Yeku, James",1,27
Directed Language Study:,AAAS 502,11:00,11:50 AM,Fall2023,2023,"EL HAIMEUR, AMAL",1,28
Directed Language Study:,AAAS 502,APPT,,Fall2023,2023,"Benbaba, Asmaa",1,28
Directed Language Study:,AAAS 502,09:00,09:50 AM,Fall2023,2023,"Benbaba, Asmaa",1,28
Directed Language Study:,AAAS 502,09:00,09:50 AM,Fall2023,2023,"Benbaba, Asmaa",1,28
Directed Language Study:,AAAS 502,09:00,09:50 AM,Fall2023,2023,,1,28
Directed Language Study:,AAAS 502,09:00,09:50 AM,Fall2023,2023,,1,28
Directed Language Study:,AAAS 502,APPT,,Fall2023,2023,"Correa Fernandes, Marie",1,28
Directed Language Study:,AAAS 502,APPT,,Fall2023,2023,"Correa Fernandes, Marie",1,28
Directed Language Study:,AAAS 503,11:00,12:15 PM,Fall2023,2023,,1,29
Directed Language Study:,AAAS 503,09:30,10:45 AM,Fall2023,2023,"EL HAIMEUR, AMAL",1,29
Directed Language Study:,AAAS 503,12:30,01:45 PM,Fall2023,2023,"Benbaba, Asmaa",1,29
Directed Language Study:,AAAS 503,11:00,12:15 PM,Fall2023,2023,"Correa Fernandes, Marie",1,29
Directed Language Study I:,AAAS 504,03:00,04:15 PM,Fall2023,2023,"Benbaba, Asmaa",1,30
Directed Language Study I:,AAAS 504,03:00,04:15 PM,Fall2023,2023,"Ojiambo, Peter",1,30
Directed Language Study I:,AAAS 504,APPT,,Fall2023,2023,"Correa Fernandes, Marie",1,30
Directed Language Study II:,AAAS 505,03:15,04:00 PM,Fall2023,2023,"EL HAIMEUR, AMAL",1,31
Directed Language Study II:,AAAS 505,03:00,05:30 PM,Fall2023,2023,,1,31
Directed Language Study II:,AAAS 505,APPT,,Fall2023,2023,"Correa Fernandes, Marie",1,31
The Civil Rights Movement,AAAS 511,APPT,,Fall2023,2023,"Frazier, Nishani",1,32
African-American Studies in:,AAAS 523,02:30,03:45 PM,Fall2023,2023,"Casey, Emily",1,33
African-American Studies in:,AAAS 523,09:30,10:45 AM,Fall2023,2023,"Casey, Emily",1,33
African Film,AAAS 555,APPT,,Fall2023,2023,"Ukpokodu, Peter",1,34
Slavery in the New World,AAAS 574,03:00,04:15 PM,Fall2023,2023,"Roberts, Justin",1,35
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"Alexander, Shawn",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"Bolden, Anthony",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"EL HAIMEUR, AMAL",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"Jelks, Randal",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"MacGonagle, Elizabeth",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"Ojiambo, Peter",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"Pennington, Dorthy",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"Ukpokodu, Peter",1,36
Investigation and Conference,AAAS 690,APPT,,Fall2023,2023,"Yeku, James",1,36
Honors Project in:,AAAS 695,APPT,,Fall2023,2023,"Alexander, Shawn",1,37
Honors Project in:,AAAS 695,APPT,,Fall2023,2023,"Bolden, Anthony",1,37
Honors Project in:,AAAS 695,12:00,12:00 PM,Fall2023,2023,"Hines, Dorothy",1,37
Honors Project in:,AAAS 695,12:00,12:00 PM,Fall2023,2023,"Persley, Nicole",1,37
Honors Project in:,AAAS 695,APPT,,Fall2023,2023,"Jelks, Randal",1,37
Honors Project in:,AAAS 695,APPT,,Fall2023,2023,"MacGonagle, Elizabeth",1,37
Honors Project in:,AAAS 695,APPT,,Fall2023,2023,"Ojiambo, Peter",1,37
Honors Project in:,AAAS 695,APPT,,Fall2023,2023,"Pennington, Dorthy",1,37
Honors Project in:,AAAS 695,APPT,,Fall2023,2023,"Ukpokodu, Peter",1,37
Honors Project in:,AAAS 695,12:00,12:00 PM,Fall2023,2023,"Yeku, James",1,37
Introd Applied Behavrl Science,ABSC 100,03:00,04:15 PM,Fall2023,2023,"Reed, Derek",1,38
Introd Applied Behavrl Science,ABSC 100,08:00,09:15 AM,Fall2023,2023,"Cao, Anne",1,38
Introd Applied Behavrl Science,ABSC 100,09:30,10:45 AM,Fall2023,2023,"Cao, Anne",1,38
Introd Applied Behavrl Science,ABSC 100,01:00,02:15 PM,Fall2023,2023,"Oda, Fernanda",1,38
Introd Applied Behavrl Science,ABSC 100,02:30,03:45 PM,Fall2023,2023,"Oda, Fernanda",1,38
Introd Applied Behavrl Science,ABSC 100,09:30,10:45 AM,Fall2023,2023,"Oda, Fernanda",1,38
Introd Applied Behavrl Science,ABSC 100,01:00,02:15 PM,Fall2023,2023,"Cao, Anne",1,38
Introd Applied Behavrl Science,ABSC 100,02:30,03:45 PM,Fall2023,2023,"Cao, Anne",1,38
Introd Applied Behavrl Science,ABSC 100,04:00,05:15 PM,Fall2023,2023,"Oda, Fernanda",1,38
Introd Applied Behavrl Science,ABSC 100,08:00,09:15 AM,Fall2023,2023,"Cao, Anne",1,38
Introd Applied Behavrl Science,ABSC 100,04:00,05:15 PM,Fall2023,2023,"Lecomte, Robert",1,38
Appld Behvior Anlysis Prctitnr,ABSC 110,APPT,,Fall2023,2023,"Bartle, Grace",1,39
Community Leadership,ABSC 150,04:00,06:00 PM,Fall2023,2023,"Thompson, Jomella; Harsin, Joshua",1,40
"Community Leadership, Honors",ABSC 151,04:00,06:00 PM,Fall2023,2023,"Thompson, Jomella; Harsin, Joshua",1,41
Intro Child Behavior&Develpmnt,ABSC 160,APPT,,Fall2023,2023,"Reed, Florence; Vance, Hanna",1,42
Human Development,ABSC 250,APPT,,Fall2023,2023,"Kelton, Robyn",1,43
Human Development,ABSC 250,APPT,,Fall2023,2023,"Kelton, Robyn",1,43
Human Development,ABSC 250,APPT,,Fall2023,2023,"Kelton, Robyn",1,43
Human Development,ABSC 250,APPT,,Fall2023,2023,"Kelton, Robyn",1,43
Prin&Procedr Behavrl Intervtns,ABSC 304,08:00,08:50 AM,Fall2023,2023,"Dozier, Claudia",1,44
Research Methods & Application,ABSC 308,12:30,01:45 PM,Fall2023,2023,"Schneider, Tadd",1,45
Research Methods & Application,ABSC 308,01:00,01:50 PM,Fall2023,2023,"Schneider, Tadd",1,45
Therapeutic Benefits of Play,ABSC 349,04:00,05:15 PM,Fall2023,2023,,1,46
Behvrl Treatmnt Childrn Autism,ABSC 350,11:00,11:50 AM,Fall2023,2023,"Neidert, Pamela",1,47
"Drugs, Addiction, and Behavior",ABSC 360,09:30,10:45 AM,Fall2023,2023,"Amlung, Michael",1,48
Curriclm Devlpmt Young Childrn,ABSC 444,12:00,12:50 PM,Fall2023,2023,"Harrison, Kelley",1,49
Special Topics in:,ABSC 469,APPT,,Fall2023,2023,"Dozier, Claudia",1,50
Special Topics in:,ABSC 469,APPT,,Fall2023,2023,"Neidert, Pamela",1,50
Special Topics in:,ABSC 469,APPT,,Fall2023,2023,"Reed, Derek",1,50
Special Topics in:,ABSC 469,APPT,,Fall2023,2023,"Thompson, Jomella",1,50
Orgnizatnl Behavior Managmnt,ABSC 470,09:30,10:45 AM,Fall2023,2023,"Laske, Matthew",1,51
Directed Readings in:,ABSC 489,APPT,,Fall2023,2023,"Morris, Edward",1,52
Directed Readings in:,ABSC 489,APPT,,Fall2023,2023,"Neidert, Pamela",1,52
Directed Readings in:,ABSC 489,APPT,,Fall2023,2023,"Roberts, Michael C",1,52
Directed Readings in:,ABSC 489,APPT,,Fall2023,2023,"Steele Jr, Ric",1,52
Directed Readings in:,ABSC 489,APPT,,Fall2023,2023,"Thompson, Jomella",1,52
Directed Readings in:,ABSC 489,APPT,,Fall2023,2023,"Vernberg, Eric",1,52
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Dozier, Claudia",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Steele Jr, Ric",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Neidert, Pamela",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Francisco, Vincent",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Reed, Derek",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Reed, Florence",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Reed, Florence",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Thompson, Jomella",1,53
Directed Research in:,ABSC 499,APPT,,Fall2023,2023,"Vernberg, Eric",1,53
"Contmp Bhvrl Sci:Hst,Cncp&Cmpr",ABSC 509,12:30,01:45 PM,Fall2023,2023,"Reed, Derek; Oda, Fernanda",1,54
Pediatrc Health&Hlth Promotion,ABSC 529,02:30,03:45 PM,Fall2023,2023,"Steele Jr, Ric",1,55
Developmental Psychopathology,ABSC 535,APPT,,Fall2023,2023,"Allen, Kristy",1,56
Developmental Psychopathology,ABSC 535,APPT,,Fall2023,2023,"Allen, Kristy",1,56
Hnr&Thsis  Appld Bhvrl Science,ABSC 599,APPT,,Fall2023,2023,"Dozier, Claudia",1,57
Hnr&Thsis  Appld Bhvrl Science,ABSC 599,APPT,,Fall2023,2023,"Amlung, Michael",1,57
Hnr&Thsis  Appld Bhvrl Science,ABSC 599,APPT,,Fall2023,2023,"Francisco, Vincent",1,57
Hnr&Thsis  Appld Bhvrl Science,ABSC 599,APPT,,Fall2023,2023,"Morris, Edward",1,57
Hnr&Thsis  Appld Bhvrl Science,ABSC 599,APPT,,Fall2023,2023,"Neidert, Pamela",1,57
Hnr&Thsis  Appld Bhvrl Science,ABSC 599,APPT,,Fall2023,2023,"Reed, Derek",1,57
Hnr&Thsis  Appld Bhvrl Science,ABSC 599,APPT,,Fall2023,2023,"Steele Jr, Ric",1,57
Spcl Projects in the Community,ABSC 606,APPT,,Fall2023,2023,"Reed, Florence",1,58
Spcl Projects in the Community,ABSC 606,APPT,,Fall2023,2023,"Thompson, Jomella",1,58
Pctm Inf-Tdlr Cr&Erly Intrvn I,ABSC 675,APPT,,Fall2023,2023,"Harrison, Kelley",1,59
Pctm Inf-Tod Cr&Erly Intrvn II,ABSC 676,APPT,,Fall2023,2023,"Harrison, Kelley",1,60
Prac Preschl Eductn&Intrvntn I,ABSC 677,APPT,,Fall2023,2023,"Harrison, Kelley",1,61
Prc Preschl Eductn&Intrvntn II,ABSC 678,APPT,,Fall2023,2023,"Harrison, Kelley",1,62
Prct Bhvr-Anl Rsh Erly Chld Ed,ABSC 679,APPT,,Fall2023,2023,"Dozier, Claudia",1,63
Prct Bhvr-Anl Rsh Erly Chld Ed,ABSC 679,APPT,,Fall2023,2023,"Neidert, Pamela",1,63
Prct Bhvr-Anl Rsh Erly Chld Ed,ABSC 679,APPT,,Fall2023,2023,"Neidert, Pamela",1,63
Prc Adv Lab Dv Bh Tr Chd Autsm,ABSC 680,APPT,,Fall2023,2023,"Harrison, Kelley",1,64
Orgniztnl Behavior Mgmt Practm,ABSC 682,12:00,02:00 PM,Fall2023,2023,"Reed, Florence; Braren, J Turner",1,65
Pctm Child Life Specialty,ABSC 683,APPT,,Fall2023,2023,"Steele Jr, Ric",1,66
Prc Cmty-bd Trt Prg Disab Adlt,ABSC 685,APPT,,Fall2023,2023,"Dozier, Claudia",1,67
Prc Commnity Health&Developmnt,ABSC 690,APPT,,Fall2023,2023,"Thompson, Jomella",1,68
Prc Commnity Health&Developmnt,ABSC 690,02:00,04:00 PM,Fall2023,2023,"Thompson, Jomella; Thompson, Valerie",1,68
Prc Commnity Health&Developmnt,ABSC 690,APPT,,Fall2023,2023,"Thompson, Jomella; Thompson, Valerie",1,68
Prc Commnity Health&Developmnt,ABSC 690,APPT,,Fall2023,2023,"Francisco, Vincent",1,68
"Prc Commnty Health&Devlpmnt,Hn",ABSC 691,APPT,,Fall2023,2023,"Thompson, Jomella",1,69
Practicum in Basic Research,ABSC 692,APPT,,Fall2023,2023,"Amlung, Michael",1,70
Practicum in Basic Research,ABSC 692,APPT,,Fall2023,2023,"Reed, Derek",1,70
Prac Historcl&Conceptl Foundtn,ABSC 693,APPT,,Fall2023,2023,"Morris, Edward",1,71
Special Practicum in:,ABSC 695,APPT,,Fall2023,2023,"Dozier, Claudia",1,72
Special Practicum in:,ABSC 695,APPT,,Fall2023,2023,"Neidert, Pamela",1,72
"Special Practicum in, Honors:",ABSC 696,APPT,,Fall2023,2023,"Dozier, Claudia",1,73
"Special Practicum in, Honors:",ABSC 696,APPT,,Fall2023,2023,"Reed, Derek",1,73
"Special Practicum in, Honors:",ABSC 696,APPT,,Fall2023,2023,"Neidert, Pamela",1,73
Special Research Practicum in:,ABSC 698,APPT,,Fall2023,2023,"Heitzman-Powell, Linda",1,74
Special Research Practicum in:,ABSC 698,APPT,,Fall2023,2023,"Saunders, Kathryn",1,74
Fundamentals Financial Acctng,ACCT 200,09:30,10:45 AM,Fall2023,2023,"Phillips, Alee",1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,12:00,01:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,12:00,01:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,12:00,01:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,12:00,01:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,08:00,09:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,08:00,09:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,04:00,05:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,04:00,05:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,11:00,12:15 PM,Fall2023,2023,"Winn, Amanda",1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,10:00,11:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,12:00,01:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,12:00,01:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,08:00,09:50 AM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,04:00,05:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,04:00,05:50 PM,Fall2023,2023,,1,75
Fundamentals Financial Acctng,ACCT 200,01:00,02:15 PM,Fall2023,2023,"Winn, Amanda",1,75
Fundamentals Financial Acctng,ACCT 200,04:00,05:50 PM,Fall2023,2023,,1,75
Managerial Accounting I,ACCT 201,12:00,12:50 PM,Fall2023,2023,"Arpin, Joshua",1,76
Managerial Accounting I,ACCT 201,05:50,07:50 PM,Fall2023,2023,"Arpin, Joshua",1,76
Managerial Accounting I,ACCT 201,04:00,05:15 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,04:00,05:15 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,04:00,05:15 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,05:30,06:45 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,05:30,06:45 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,09:00,10:15 AM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,09:00,10:15 AM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,10:30,11:45 AM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,10:30,11:45 AM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,10:30,11:45 AM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,10:30,11:45 AM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,12:00,01:15 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,12:00,01:15 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,12:00,01:15 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,12:00,01:15 PM,Fall2023,2023,,1,76
Managerial Accounting I,ACCT 201,12:00,01:15 PM,Fall2023,2023,,1,76
Intro Accounting Profession,ACCT 230,APPT,,Fall2023,2023,"Phillips, Alee",1,77
Special Topics Accounting:,ACCT 300,09:30,10:45 AM,Fall2023,2023,"Arpin, Joshua",1,78
Intermediate Accounting I,ACCT 320,01:00,02:15 PM,Fall2023,2023,"Scroggins, Lana",1,79
Intermediate Accounting I,ACCT 320,09:30,10:45 AM,Fall2023,2023,"Green, Rachel",1,79
Intermediate Accounting I,ACCT 320,06:10,09:00 PM,Fall2023,2023,"Scroggins, Lana",1,79
Intermediate Accountng Finance,ACCT 321,09:30,10:45 AM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,05:50,07:50 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,05:50,07:50 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,11:00,12:15 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,05:50,07:50 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,05:50,07:50 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,02:30,03:45 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,05:50,07:50 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
Intermediate Accountng Finance,ACCT 321,05:50,07:50 PM,Fall2023,2023,"Morriss Jr, Lawrence",1,80
"Intermediate Accounting I,Hnrs",ACCT 323,11:00,12:15 PM,Fall2023,2023,"Green, Rachel",1,81
Managerial Accounting II,ACCT 325,09:30,10:45 AM,Fall2023,2023,"Crabb, Kelvie",1,82
Managerial Accounting II,ACCT 325,11:00,12:15 PM,Fall2023,2023,"Crabb, Kelvie",1,82
Introduction to Taxation,ACCT 330,11:00,12:15 PM,Fall2023,2023,"Kara, Mehmet",1,83
Introduction to Taxation,ACCT 330,01:00,02:15 PM,Fall2023,2023,"Kara, Mehmet",1,83
Introduction to Taxation,ACCT 330,02:30,03:45 PM,Fall2023,2023,"Kara, Mehmet",1,83
Introduction to Taxation,ACCT 330,06:10,09:00 PM,Fall2023,2023,"Falk, Michael",1,83
Intermediate Accounting II,ACCT 410,01:00,02:15 PM,Fall2023,2023,"Park, Min",1,84
Intermediate Accounting II,ACCT 410,09:30,10:45 AM,Fall2023,2023,"Park, Min",1,84
Intermediate Accounting II,ACCT 410,11:00,12:15 PM,Fall2023,2023,"Park, Min",1,84
Accounting Information Systems,ACCT 425,01:00,02:15 PM,Fall2023,2023,"Best, Mark",1,85
Special Topics Accounting:,ACCT 500,11:00,12:15 PM,Fall2023,2023,"Falk, Michael",1,86
Introduction to Auditing,ACCT 543,01:00,02:15 PM,Fall2023,2023,"Lundstrom, Nathan",1,87
Introduction to Auditing,ACCT 543,09:30,10:45 AM,Fall2023,2023,"Lundstrom, Nathan",1,87
Introduction to Auditing,ACCT 543,08:00,09:15 AM,Fall2023,2023,"Lundstrom, Nathan",1,87
Adv Tax Business Entity I,ACCT 545,11:00,12:15 PM,Fall2023,2023,"Scroggins, Lana",1,88
Adv Tax Business Entity I,ACCT 545,APPT,,Fall2023,2023,"Scroggins, Lana",1,88
Adv Tax Business Entity I,ACCT 545,03:00,04:15 PM,Fall2023,2023,"Whisenant, Lori",1,88
Adv Tax Business Entity I,ACCT 545,APPT,,Fall2023,2023,"Whisenant, Lori",1,88
Internship in Accounting,ACCT 599,APPT,,Fall2023,2023,"Crabb, Kelvie",1,89
KU Design Symposium,ADS 320,06:00,08:00 PM,Fall2023,2023,"Hossler, Tim",1,90
